num_qubits,tickers,"s1, s2",kappa_opt,kappa_original
200,"['MAG', 'ARMN', 'HUSA', 'AWX', 'NBH', 'GENC', 'GBR', 'BGI', 'SBEV', 'CKX', 'FSI', 'NTIP', 'FCO', 'APT', 'CMCL', 'USAS', 'CVR', 'VTAK', 'NHS', 'OZ', 'MXC', 'TELL', 'ERH', 'SIM', 'FRD', 'EFSH', 'BRN', 'BATL', 'ENSV', 'CCEL', 'WYY', 'FAX', 'TMP', 'SACH', 'MTA', 'CRF', 'JWSM', 'MI', 'CVU', 'PRK', 'CHAA', 'CTGO', 'LSF', 'SCPX', 'ELLO', 'WWR', 'UTG', 'NFGC', 'GRF', 'CEV', 'CEI', 'VINE', 'OGEN', 'DSS', 'UAMY', 'MTNB', 'GAU', 'UUUU', 'ACU', 'TOON', 'AEF', 'FURY', 'SLSR', 'KNW', 'ISDR', 'CET', 'ECF', 'EIM', 'UAVS', 'BDL', 'GLO', 'CANF', 'VNRX', 'AIM', 'REI', 'LGL', 'PZG', 'DXF', 'ITRG', 'REPX', 'ZOM', 'SKYH', 'SENS', 'WRN', 'TMQ', 'EP', 'BCV', 'DNN', 'CIK', 'YCBD', 'NHC', 'ASM', 'MYND', 'VKI', 'EAD', 'CMT', 'UUU', 'TELZ', 'AINC', 'GGN', 'IMO', 'AMS', 'BITE', 'MYO', 'NAK', 'OBE', 'PW', 'ORLA', 'AUMN', 'TGB', 'COHN', 'MHH', 'GLU', 'IOR', 'DLA', 'INUV', 'LCTX', 'VGZ', 'INLX', 'MSN', 'GORO', 'JOB', 'AIRI', 'ATCH', 'CYBN', 'IAUX', 'TRX', 'NBY', 'ITP', 'SLI', 'PTN', 'EVBN', 'TPHS', 'PED', 'DIT', 'SCCD', 'NEN', 'XTNT', 'SCCB', 'SER', 'SVM', 'ATNM', 'FSP', 'BLUA', 'ZDGE', 'INDO', 'EVV', 'AE', 'FEN', 'PLG', 'IHT', 'RCG', 'SIF', 'NG', 'EPM', 'SSY', 'SCCC', 'INTT', 'DMF', 'NEWP', 'GTE', 'AMBI', 'GLV', 'ESP', 'LXFR', 'CIX', 'SLND', 'BTTR', 'IGC', 'CPHI', 'EVI', 'BACA', 'TOVX', 'INFU', 'CVM', 'MRT', 'NRO', 'AMBO', 'SEB', 'COE', 'STXS', 'GLQ', 'BURU', 'CATX', 'EMX', 'ELA', 'SVT', 'LODE', 'BMTX', 'PHGE', 'CLM', 'FTF', 'IAF', 'URG', 'AREN', 'NNVC', 'ENX', 'ASXC', 'DHY', 'BKTI']",[-1.72235793e-02 -3.19969922e-05 -1.48666958e-03],1231498.9874589287,140918690.6314323
200,"['SVT', 'PHGE', 'DHY', 'CVU', 'AINC', 'LPTV', 'NG', 'FTF', 'EIM', 'MYO', 'SBEV', 'CET', 'LEU', 'CIK', 'OPTT', 'NNVC', 'CKX', 'SIM', 'INDO', 'EVV', 'AUMN', 'WRN', 'HUSA', 'URG', 'IAF', 'ELLO', 'ARMP', 'LGL', 'IMO', 'SACC', 'CMT', 'BHB', 'MI', 'NBY', 'CVM', 'ORLA', 'ITP', 'NML', 'PW', 'NBH', 'GRF', 'MHH', 'IDR', 'BRBS', 'CIX', 'MTA', 'CHAA', 'CRF', 'AEF', 'BGI', 'SIF', 'UUUU', 'UAVS', 'IAUX', 'ATNM', 'FSP', 'INUV', 'FRD', 'GENC', 'OBE', 'TPHS', 'UUU', 'INTT', 'JWSM', 'ELMD', 'BTG', 'FURY', 'OZ', 'SENS', 'ISDR', 'VKI', 'VGZ', 'ACU', 'TGB', 'BDL', 'AIRI', 'CPHI', 'AIM', 'ZOM', 'MYND', 'NEN', 'UTG', 'DSS', 'MPU', 'REI', 'STXS', 'VTAK', 'GSAT', 'BLUA', 'TELL', 'ZDGE', 'DNN', 'DXF', 'NHS', 'INLX', 'BCV', 'SLSR', 'FAX', 'BTTR', 'ESP', 'TMP', 'NHC', 'EAD', 'ERH', 'ERC', 'YCBD', 'CEI', 'ELA', 'PED', 'SILV', 'EFSH', 'EVM', 'RVP', 'NAK', 'SKYH', 'ATCH', 'LCTX', 'COHN', 'EP', 'CMCL', 'TOON', 'DLA', 'GLDG', 'CATX', 'PLX', 'SACH', 'XPL', 'AMBI', 'MAG', 'EMX', 'ENSV', 'WWR', 'RHE', 'AMS', 'SSY', 'USAS', 'BATL', 'FEN', 'LODE', 'AE', 'HNW', 'PZG', 'RLGT', 'FSI', 'SCPX', 'UEC', 'EVI', 'GTE', 'NTIP', 'IHT', 'CEV', 'INFU', 'PTN', 'WYY', 'VNRX', 'ENX', 'SCCC', 'BITE', 'BACA', 'AREN', 'ECF', 'MLSS', 'SDPI', 'NGD', 'CYBN', 'FCO', 'GLO', 'TOVX', 'REPX', 'BMTX', 'XTNT', 'CLDI', 'IBIO', 'BURU', 'TOPS', 'TMQ', 'DIT', 'KNW', 'ASXC', 'ITRG', 'NEWP', 'GBR', 'SLI', 'AWX', 'BKTI', 'DMF', 'TRT', 'CCEL', 'OGEN', 'AMBO', 'MRT', 'AULT', 'VINE', 'IGC', 'SER', 'MITQ', 'GAU', 'SCCD', 'SVM', 'GLU']",[-1.41777430e-02 -3.13508579e-05 -1.52081672e-03],737820.4185081352,84812838.00013395
200,"['IDR', 'GSAT', 'FSP', 'NGD', 'IAF', 'LODE', 'GLQ', 'CYBN', 'ENSV', 'AREN', 'UAMY', 'ITRG', 'KNW', 'EPM', 'GENC', 'BATL', 'ESP', 'EIM', 'PLAG', 'CVR', 'SER', 'CATX', 'SCCC', 'AWX', 'CKX', 'UAVS', 'GGN', 'ZOM', 'RCG', 'TMP', 'SVT', 'LEU', 'REPX', 'WRN', 'GAU', 'NHS', 'GBR', 'FURY', 'SBEV', 'UTG', 'GRF', 'VFL', 'FTF', 'TGB', 'IMO', 'CMT', 'MPU', 'STXS', 'UEC', 'EVV', 'SCCB', 'IOR', 'AMBI', 'ERC', 'DSS', 'WYY', 'BDL', 'BRN', 'OZ', 'CVM', 'CHAA', 'FRD', 'COHN', 'GLDG', 'BGI', 'EP', 'LPTV', 'NG', 'IAUX', 'PZG', 'NML', 'NRO', 'MI', 'EAD', 'NEN', 'ELLO', 'UUU', 'AUMN', 'USAS', 'BTG', 'RHE', 'ARMP', 'TELL', 'XTNT', 'UUUU', 'IHT', 'NTIP', 'INUV', 'HUSA', 'FAX', 'PW', 'GLV', 'CEV', 'ELA', 'SIM', 'CRF', 'XPL', 'INLX', 'ZDGE', 'BHB', 'ATNM', 'SLSR', 'CCEL', 'BURU', 'DHY', 'TMQ', 'MLSS', 'VINE', 'ASXC', 'TPHS', 'SKYH', 'BITE', 'BTTR', 'AIM', 'KULR', 'SIF', 'EVM', 'PHGE', 'ARMN', 'ISDR', 'SDPI', 'URG', 'SACH', 'SCCD', 'DMF', 'ASM', 'IBIO', 'EMX', 'BKTI', 'BRBS', 'TELZ', 'ECF', 'NFGC', 'DXF', 'ELMD', 'PED', 'MAG', 'RVP', 'CLDI', 'RLGT', 'INFU', 'LGL', 'VKI', 'SLND', 'PTN', 'COE', 'REI', 'TRX', 'LXFR', 'SVM', 'MTA', 'NNVC', 'LCTX', 'CANF', 'ERH', 'AIRI', 'ENX', 'SCPX', 'VNRX', 'CIX', 'MYND', 'ATCH', 'BCV', 'CTGO', 'PRK', 'GORO', 'LSF', 'TOVX', 'MYO', 'DNN', 'MSN', 'AMBO', 'CEI', 'SLI', 'GLO', 'TOPS', 'IGC', 'GLU', 'NAK', 'MITQ', 'CMCL', 'PLX', 'BMTX', 'NBH', 'FCO', 'AINC', 'SENS', 'INDO', 'TRT', 'BACA', 'SEB', 'CPHI', 'EVI', 'OPTT', 'FSI', 'SSY', 'OGEN', 'AMS', 'CIK', 'INTT']",[-3.28506747e-03  2.00198609e-05 -1.54183951e-03],446804.74691927235,50983459.860188425
200,"['REI', 'EVI', 'FSP', 'ERC', 'CKX', 'EAD', 'FAX', 'ITRG', 'BGI', 'TRX', 'MXC', 'KNW', 'WRN', 'NML', 'GAU', 'IOR', 'SIM', 'ELA', 'AULT', 'ASM', 'AE', 'SLSR', 'FRD', 'COE', 'IAUX', 'FEN', 'USAS', 'JOB', 'VTAK', 'ATNM', 'AIM', 'URG', 'TOVX', 'IBIO', 'BKTI', 'AIRI', 'VINE', 'GLQ', 'AMS', 'GORO', 'GLU', 'SIF', 'ESP', 'KULR', 'SDPI', 'BTG', 'GBR', 'XTNT', 'SACC', 'EVV', 'VGZ', 'SBEV', 'DSS', 'PLX', 'TELL', 'BCV', 'GRF', 'OPTT', 'INTT', 'UUU', 'SENS', 'SLI', 'EVBN', 'IHT', 'CVR', 'BMTX', 'FTF', 'MPU', 'IGC', 'EMX', 'NHS', 'SILV', 'ARMN', 'RLGT', 'VFL', 'MHH', 'BHB', 'EQX', 'CEI', 'PTN', 'STXS', 'HUSA', 'SER', 'ELLO', 'NAK', 'EVM', 'RHE', 'DNN', 'WYY', 'GROY', 'CMCL', 'EPM', 'CHAA', 'MI', 'GSAT', 'DLA', 'INLX', 'SVT', 'FURY', 'ZDGE', 'CIX', 'NNVC', 'UEC', 'APT', 'FSI', 'SEB', 'SLND', 'AMBO', 'XPL', 'CMT', 'CRF', 'ENSV', 'NGD', 'OBE', 'TELZ', 'IDR', 'CLM', 'SVM', 'TOPS', 'MTA', 'CCEL', 'BRBS', 'CEV', 'NEWP', 'GLDG', 'TRT', 'NHC', 'WWR', 'AEF', 'MAG', 'PLAG', 'BACA', 'NTIP', 'BATL', 'CVU', 'INFU', 'FCO', 'YCBD', 'OZ', 'RVP', 'NRO', 'HNW', 'CET', 'MRT', 'SCPX', 'ACU', 'BDL', 'TOON', 'CATX', 'CIK', 'ENX', 'CPHI', 'PHGE', 'AMBI', 'MTNB', 'GGN', 'VKI', 'INUV', 'IMO', 'VNRX', 'RCG', 'EFSH', 'PLG', 'MLSS', 'LPTV', 'MITQ', 'SKYH', 'TMQ', 'ASXC', 'LSF', 'COHN', 'CANF', 'NG', 'DXF', 'JWSM', 'GLV', 'ITP', 'BTTR', 'PED', 'OGEN', 'ERH', 'SACH', 'AINC', 'INDO', 'NFGC', 'ARMP', 'LODE', 'CVM', 'NBY', 'EP', 'CTGO', 'DHY', 'GTE', 'GENC', 'AREN', 'ORLA', 'AWX', 'TGB', 'CLDI', 'REPX']",[ 1.73239115e-02  3.36844517e-05 -1.42094530e-03],558997.55633772,63968470.508207776
200,"['VINE', 'ENSV', 'IMO', 'INLX', 'MITQ', 'BGI', 'VTAK', 'DXF', 'PLX', 'ERH', 'NTIP', 'UAMY', 'VGZ', 'GTE', 'MXC', 'AULT', 'PTN', 'ATNM', 'REPX', 'URG', 'BTTR', 'EIM', 'SENS', 'CEV', 'FEN', 'NGD', 'CLDI', 'HNW', 'CVU', 'AE', 'IAUX', 'BDL', 'CANF', 'NBY', 'INUV', 'EMX', 'ARMN', 'ZOM', 'BRBS', 'NNVC', 'MSN', 'MAG', 'FSP', 'SLSR', 'LEU', 'SILV', 'EPM', 'TRX', 'RCG', 'NRO', 'NML', 'BMTX', 'NHS', 'AMS', 'XPL', 'GLV', 'IDR', 'SDPI', 'ITRG', 'TOPS', 'PHGE', 'CPHI', 'ENX', 'MTNB', 'AWX', 'EVV', 'RVP', 'LPTV', 'AREN', 'DSS', 'CMCL', 'ASXC', 'LXFR', 'BURU', 'FURY', 'CVM', 'IGC', 'ELLO', 'FCO', 'ITP', 'FSI', 'ISDR', 'CLM', 'UUUU', 'PZG', 'GAU', 'MYO', 'ELA', 'WRN', 'CVR', 'SCCC', 'YCBD', 'SVM', 'AEF', 'DNN', 'BATL', 'SER', 'EQX', 'ZDGE', 'GLO', 'GGN', 'CHAA', 'AMBI', 'CYBN', 'BACA', 'CIK', 'SLI', 'MI', 'VKI', 'BTG', 'ECF', 'FAX', 'NHC', 'SIM', 'SCCD', 'NG', 'SCCB', 'ACU', 'RHE', 'CEI', 'SKYH', 'LCTX', 'USAS', 'KULR', 'IAF', 'BITE', 'CMT', 'IOR', 'GLDG', 'DHY', 'DIT', 'INFU', 'MPU', 'CCEL', 'WWR', 'LODE', 'ASM', 'EVM', 'EVBN', 'ELMD', 'PRK', 'ATCH', 'WYY', 'AIM', 'EP', 'UTG', 'PLAG', 'NFGC', 'GBR', 'IHT', 'DMF', 'NAK', 'TELZ', 'BHB', 'CATX', 'CIX', 'VFL', 'SACH', 'PED', 'LGL', 'OGEN', 'FRD', 'VNRX', 'DLA', 'STXS', 'NBH', 'BRN', 'ARMP', 'TRT', 'BKTI', 'GLQ', 'ERC', 'EFSH', 'SIF', 'SLND', 'EVI', 'REI', 'AINC', 'EAD', 'GLU', 'RLGT', 'TGB', 'MYND', 'AIRI', 'CET', 'UEC', 'SSY', 'HUSA', 'NEWP', 'AMBO', 'GROY', 'CKX', 'COE', 'SCPX', 'SVT', 'MHH', 'NEN', 'BLUA', 'MRT', 'IBIO']",[-9.44765950e-03 -2.57427586e-05 -1.54264317e-03],726811.1646770489,85236473.09216782
