phase_qubit_num,vector_qubit_num,depth,gate_count,num_qubit
1,3,801,421,5
2,3,2385,1259,6
3,3,5559,2935,7
4,3,11899,6283,8
5,3,24575,12971,9
6,3,49923,26335,10
7,3,100615,53047,11
8,3,201995,106451,12
9,3,404751,213235,13
10,3,810259,426775,14
11,3,1621271,853823,15
12,3,3243291,1707883,16
