num_tickers,depth_decrease,CNOT_decrease,qubit_num_decrease
2,0.024854586686914884,0.024866485457853076,0.7289976145899809
3,0.007024788467833725,0.007025491184365112,0.6657915028720118
4,0.0028481709042753787,0.0028485503430025526,0.6374419693247574
5,0.0019412505949248512,0.00194151718378719,0.6331185042115695
6,0.0017409251734070467,0.0017411357784839763,0.6362125990338164
7,0.0017678794462889574,0.001767916459526836,0.6554508914074432
8,0.0017977617958818896,0.0017977941713116096,0.6602562956327722
9,0.0018462815463800776,0.001846310616828082,0.6645309371560001
10,0.0018850775661150684,0.0018851038002983597,0.6682794451255303
11,0.0019203553197732392,0.001920378849508925,0.671754954156729
12,0.001973303798035916,0.001973325201823222,0.6757873315179299
13,0.002007204286446698,0.0020072240623469164,0.678894027553845
14,0.0020686395145290675,0.0020686582115177887,0.6820298402544042
