phase_qubit_num,vector_qubit_num,depth,gate_count,num_qubit
1,4,3873,2041,6
2,4,11585,6111,7
3,4,27015,14251,8
4,4,57867,30527,9
5,4,119567,63071,10
6,4,242963,128147,11
7,4,489751,258283,12
8,4,983323,518535,13
9,4,1970463,1039015,14
10,4,3944739,2079947,15

