num_tickers,depth_decrease,CNOT_decrease,qubit_num_decrease
2,0.025325581790188373,0.025337940274938672,0.7299198260248901
3,0.006755616086167268,0.006756338199446805,0.6663434950918646
4,0.0029837117893068517,0.002984097139068104,0.639737231512449
5,0.0019419246464147076,0.0019421950551604258,0.6319747030887791
6,0.0017115848480635297,0.001711791603004399,0.6351314830298526
7,0.0017355589617049844,0.0017355954300560905,0.6547336970309384
8,0.0018195912879173947,0.0018196234369180714,0.6608998095849008
9,0.0018777297628736985,0.0018777586179282123,0.6660939091109476
10,0.0018889818936873874,0.001889008385057844,0.6681487216224539
11,0.0019197686289114861,0.0019197922369523293,0.6716763209557327
12,0.0020018173471664825,0.0020018390779763385,0.6762897844961739
13,0.0019979260666201193,0.001997945901843747,0.6787441401848096
14,0.0020760617242924413,0.0020760804267688023,0.6820328804318663
