num_assets,my_acc,my_qubits,my_cnot,my_dep,qiskit_acc,qiskit_qubits,qiskit_cnot,qiskit_dep
2,0.6729213705422074,10.65,20571.6,39180.8,0.23163115842000806,7.0,1181.0,2203.0
3,0.697943180254381,10.25,13936.0,26507.2,0.2851594939491663,7.0,1181.0,2203.0
4,0.6568093289059815,10.5,19463.6,37068.2,0.2552549759288926,7.0,1181.0,2203.0
5,0.6587845172730542,10.95,25659.2,48897.2,0.2914771914147182,7.0,1181.0,2203.0
6,0.7846061949437452,10.2,12609.6,23972.6,0.3177844264461911,7.0,1181.0,2203.0
