data2,data3,data4,data5,data6
8.02160759,8.96598843,36.66016023,27.20074734,17.35756645
17.97951888,22.76906063,16.18883917,27.48128791,15.03351834
21.27670132,29.33136197,17.01990068,21.01557991,17.53919296
15.2542847,8.47015492,15.37591843,17.10303883,19.82681887
7.61639353,20.53359262,24.36326016,25.85378056,6.34747584
28.36528646,48.51350241,13.7907576,13.06188928,14.32964232
24.54209201,29.04736092,34.94219807,20.11910008,11.89393777
8.6340814,13.18048508,21.3221393,16.49133407,9.02667766
7.1977393,16.94974558,9.98917003,7.80881183,15.97628071
17.44214668,8.84089182,14.96538138,11.48384568,7.52824853
10.83105359,11.93904469,17.01363353,7.74600502,17.01565992
44.88872669,16.351706,10.50050808,7.04072425,22.78136978
7.57865093,13.98218731,29.93506724,27.60805792,13.89986255
24.78860531,16.06065381,31.96533868,12.33917533,15.50406009
15.78750058,10.32807472,24.41755779,14.93735329,7.56256059
27.12588571,34.92038843,28.15222444,18.02090455,11.4272546
6.85690624,11.24074878,28.46152691,9.78989965,12.88246211
6.96715111,34.76590199,9.51496712,13.20495741,12.12312729
21.31266011,6.30769143,14.03379501,6.77697266,21.51094943
14.16660654,19.11574982,16.70159416,13.56442143,11.44188615
10.88434041,24.74603693,27.66282398,19.7494811,11.61421832
8.31805435,55.60339255,16.7696899,14.08335723,15.48435813
19.55271843,9.71454346,19.01987045,11.61805791,15.00228252
10.60106723,11.99796781,18.19716323,15.49814915,18.40183438
11.8432842,16.54405432,17.7539263,10.58066974,11.58176549
21.73114791,12.76284827,12.73893127,20.56841651,23.74899226
27.34475395,47.21882226,29.97369579,21.451451,14.3840931
16.03105667,18.1153467,10.74760258,12.99470014,15.32240596
17.78658642,13.29530135,15.42421015,8.06230017,18.10563032
24.24915639,43.71714126,19.48315317,15.3132937,12.2827486
8.92129603,44.60925769,24.19355077,19.43876682,23.96910651
6.9764642,13.48705007,29.40736109,19.39331844,21.51906472
13.51493658,22.86845561,18.0497709,31.3046076,14.73865759
6.92886647,22.16550273,11.65075854,14.16099723,12.40723016
18.98498802,35.11349657,12.25889423,17.5168865,16.86475204
21.1974706,41.3171631,16.89879099,9.67135288,18.10762676
16.33609102,10.29841928,19.75707019,29.27451502,13.21622431
17.08967082,7.57321243,29.88060568,19.0382583,14.23368862
16.79085886,35.61269853,14.94145245,15.40390928,14.97892499
34.8322595,16.28296941,23.26222867,17.33635333,9.79531354
9.48716478,21.68366816,27.84482259,11.49487429,14.52334513
6.07353358,35.70868934,30.44802943,26.83171115,16.33462302
7.53626289,29.42867665,23.54732767,16.92445512,9.9269812
8.3008051,19.42557858,13.92477047,16.0848863,9.83841109
9.1460687,10.01061147,16.5730466,14.67313771,25.89441495
27.87817576,16.32555808,11.10571808,25.11381559,9.3715035
9.39524074,12.46691298,16.18433216,13.93716742,23.07499337
8.82768253,10.9124079,19.53368281,11.91375251,19.07161644
21.23541013,21.03930507,23.97659847,16.43876583,11.52769855
10.28994097,43.07521176,13.24880901,14.28775753,12.99532043
21.28843205,15.97024483,15.75390574,15.69440942,12.10048806
17.93939108,12.99081185,17.66342657,12.16337517,8.0738966
43.26796644,12.90503666,13.90988482,28.24172759,11.47118111
30.60831646,9.01649951,10.84487774,12.60441782,19.59293057
43.71921424,21.32027047,19.98803989,16.95737566,12.23227399
47.07148532,12.92039902,12.41557879,8.30905542,6.16700415
14.39488216,19.57030879,20.79831862,19.11168382,20.10769464
12.77721716,11.26665036,21.57032198,26.43381086,17.28347593
8.26396402,34.69456621,27.9217248,7.01022811,9.79717213
12.29979158,6.8182239,20.16520542,9.86022436,13.38748587
7.68461604,27.52118013,24.4003442,9.75636948,15.2189222
8.1762552,8.73926995,20.38705492,19.14314276,13.55340044
11.26487221,6.89905464,14.30841859,13.50537329,13.26073914
25.70182182,21.90883929,22.36436859,20.55228944,13.74312958
6.12452455,7.950326,14.81572845,16.10590439,14.33220797
12.26980347,16.98237702,20.47256723,11.04877035,13.62474013
7.03857949,16.66777185,22.70574709,12.27192361,21.7913184
24.16349033,34.78566747,34.54875296,35.9028419,12.08458013
25.72210697,14.47600671,30.44621087,19.54399798,11.58961813
23.79245687,27.36673332,20.45700399,18.1405053,16.27492873
18.28272907,25.27042617,21.85189282,10.32230512,20.0636061
12.67404702,15.31139351,9.20120636,18.18149727,9.63536811
14.17862087,41.6440505,23.22689629,12.56828086,10.67939949
45.3482962,6.94962162,21.84829358,25.59709379,11.28202869
8.62260969,11.36035097,34.7849354,10.36330885,7.2636304
11.6784072,19.82125646,14.17854232,17.12697463,15.41045553
35.12437129,11.80256587,16.85826073,16.13311991,10.54807001
28.12516891,7.69115133,24.54583664,26.39129405,17.760687
21.1999813,25.04649269,20.34821932,8.61362362,13.28829477
11.12519546,11.8797747,12.07206443,15.96470671,20.34473566
19.17303095,7.95114236,28.61076205,29.83047412,16.63512621
7.95411983,26.08394358,14.43105973,22.00266874,23.86498049
27.89532288,24.01103718,21.56898318,16.75493003,5.81554211
8.48162948,24.42647038,30.94991773,15.9134221,11.43230364
12.97436314,20.74893319,29.98365644,17.60808154,17.3619958
7.8752089,14.26308457,30.00041007,18.10514697,20.63273124
28.63859129,21.21651102,31.67172054,13.67933411,14.68022375
12.05256532,30.48786331,50.37751842,18.42515234,14.24731129
12.33731377,31.71149297,13.6380473,12.24159998,20.13907998
21.39714552,16.20647758,39.64183318,19.97849818,16.73650616
8.97311025,17.88251596,17.73172737,31.96588322,15.43533704
8.01667742,24.84839376,11.61129295,30.76882049,11.0351252
11.29317444,27.96619114,34.70045677,14.34871107,13.15882572
44.07205012,39.70853995,25.71999977,5.73322717,28.80082428
9.12976034,24.98271956,15.49783388,7.77906431,16.93344235
24.20723803,27.1863313,26.31572928,12.07775522,18.94605603
14.18972399,11.4735441,35.09477595,13.0396739,7.72044493
13.38875226,8.99839603,18.01850291,28.81271155,11.54823555
21.53208351,21.03739879,19.52289855,18.43537932,12.51223824
17.20627577,6.38110622,23.39366406,15.09719379,24.22969382
25.21672158,31.48855282,13.89881269,14.46753365,12.96770873
25.06256771,31.19741992,12.89634796,12.72297517,15.17268412
41.39131601,20.98480107,23.92441427,11.90012425,8.84952748
29.8585421,16.97899335,24.28910334,17.47723533,20.90704846
8.13441869,44.31329811,33.16049657,7.38124326,8.11824259
16.60450193,12.4934167,19.98429995,12.45749093,12.29706683
15.92060012,21.05098275,29.89615062,29.72298224,27.10916998
21.02363026,8.02640503,35.03033185,17.66350465,9.91817058
8.93422168,13.49024936,27.24997547,31.70700573,16.19691168
6.8887467,5.78595363,11.1409337,10.46956183,28.58405659
16.12666328,48.21171557,17.6220371,15.10656734,20.68020792
12.3169585,17.27144462,11.12681364,18.9236616,9.52327441
20.95782013,25.55448635,24.25303227,11.70980504,14.45320925
8.34132879,12.76377727,18.04627333,26.07119288,14.43148952
8.96990179,20.14067661,15.21076383,22.81709625,15.34273791
9.69939503,12.56355909,16.54240604,16.54919317,15.88948078
15.39719094,27.3806552,15.68220992,5.88185829,19.03914235
15.33557659,17.21069136,24.43023983,23.2696522,22.31773809
16.40052507,25.79152225,41.27985779,11.34496894,8.84352055
21.26603814,23.12639647,24.38316158,10.29882464,14.49152718
10.92937444,13.61290533,13.22683921,33.51152836,13.10792645
17.59782437,13.80259856,13.63127495,6.77288454,20.83472817
27.80805199,22.23882328,29.50865147,20.05544704,16.06883285
8.29305487,11.89764585,37.21091374,22.19607897,27.03688333
13.50338126,16.11395759,24.19915399,19.75089354,10.68956362
41.30584738,26.18788565,22.82905736,18.23793968,9.42377344
6.69822353,35.20428431,22.21475662,18.13599649,11.59300777
14.99913411,30.06711776,19.39009591,25.67538794,20.89467427
7.59847636,27.41318836,9.63148754,17.20204176,11.33549576
18.51264507,13.77345461,34.87211117,16.38342698,19.27219884
12.94885721,18.07667071,20.7727334,6.25119779,10.0129943
9.71221431,26.05079583,21.01153192,39.24079175,21.76836072
13.3573972,28.71076033,10.93132256,17.54737771,6.99397508
19.92230296,29.12500619,10.66890239,18.53486116,6.9104372
16.89231726,17.25420827,14.02099766,27.92368023,7.93539308
14.00063871,48.02603379,15.97713486,8.58298091,8.63484445
9.61953708,17.10642196,21.10191776,19.83706686,17.09423708
43.42717676,10.8904274,30.53559993,12.26753753,19.29510396
13.51502801,19.61414714,25.3657755,28.52377739,8.74910756
16.52769179,22.85495078,37.14779272,12.18669498,15.00884224
16.2456036,27.84430476,34.97744925,21.58642693,6.94631566
43.61087941,10.94314597,28.83165083,19.68664022,23.09800968
8.66283231,29.79975352,12.76430445,14.66852438,8.72363087
21.54778355,9.35789365,13.38618691,10.23399522,23.85841245
10.73433197,43.87058054,18.53028206,30.60114435,18.47881097
7.61346476,20.8036279,22.24398509,19.66365966,20.13119914
6.75813893,21.85396365,13.12216995,10.83267508,16.69508398
8.2939656,15.01544721,30.0303254,28.3650943,13.7170317
24.92777355,39.69516834,17.56140064,20.86516307,5.99610846
7.02248293,18.98913663,38.15151033,18.03152895,20.2223654
13.21060108,23.81073677,12.74123879,17.0974544,9.13892989
34.85885725,11.58664705,13.86139137,21.92912005,18.02876621
21.30467544,34.86112773,39.23641429,24.24499754,11.85397168
25.22923397,23.95958387,31.7541135,18.78112114,11.09355606
8.90392121,6.77830591,12.85104711,7.59467524,13.52811969
9.02713547,33.33568016,15.4797043,27.65128655,8.78550785
7.85918724,27.28982085,30.2537982,10.44802781,6.39058301
24.30287589,35.2604003,11.00033583,9.30946147,8.76040488
8.00023619,13.57969644,30.30319051,19.02056542,12.17211725
11.72007431,17.8776453,20.26137772,16.67531255,16.42764967
23.96110181,20.50172648,18.21324098,12.42577738,12.70339852
17.71750485,12.5788147,21.06616515,20.30893836,11.13394459
20.35220048,20.78714957,22.74609673,18.35977862,16.36286305
7.8329206,14.16905391,17.04763534,22.39659794,11.96446475
8.90271157,15.31085628,20.26921546,38.05862326,18.00586268
16.23184391,13.27862567,17.25359891,12.93942933,18.87243173
10.62422716,24.20520263,40.61498433,10.14393515,19.76442271
23.82758779,13.02314413,18.51519267,22.64932715,11.50492228
12.69645311,17.68270974,17.18964779,27.66662609,18.04055478
15.32864958,16.51743243,18.53489442,20.29112436,12.07292071
9.36208027,30.35024161,38.66641258,33.13285646,15.94319989
15.38699275,10.77733358,25.57008641,7.94433583,6.68415183
7.03275511,14.09877649,12.66843046,10.31374459,13.3983618
28.58150521,21.51317798,36.94604267,14.19703367,14.75538928
9.47856762,14.22556576,31.18573002,8.75778767,9.59776175
7.82582718,20.90239418,24.72999882,20.4865224,9.90923897
23.77541165,9.80127444,15.63676143,15.55558589,12.45246882
7.32165337,22.43180527,21.52419236,8.70050354,11.27817139
22.6334738,13.44177555,23.20626974,7.13745774,24.07001495
27.37317565,14.11940644,38.1211056,20.17534736,10.52320799
11.63736885,14.52845144,16.13746115,23.69661576,19.74609911
9.09873055,9.6271922,32.02943672,17.09703134,5.45552633
9.04704729,26.01433982,9.82564238,20.62659014,7.65739691
25.04113838,26.8210187,12.86887046,11.24062215,10.97751023
41.05007211,13.1538236,17.08753836,6.46976798,12.96391612
21.36754992,20.98491506,12.98491077,23.44428229,17.00156839
12.24889132,8.95399034,14.28767594,15.88379977,10.72212788
23.18501889,20.43782017,15.99656884,13.31567446,13.23704524
13.53655356,7.43305449,23.9440564,25.75734933,11.84101148
