num_assets,my_acc,my_qubits,my_cnot,my_dep,qiskit_acc,qiskit_qubits,qiskit_cnot,qiskit_dep
2,0.8272434154464886,13.35,125543.4,239831.6,0.2997531380302743,7.0,1181.0,2203.0
3,0.7829613084823333,13.5,318089.0,608165.0,0.23498412900375523,7.0,1181.0,2203.0
4,0.597077237857351,14.05,402899.4,770368.8,0.20152611308398805,7.0,1181.0,2203.0
5,0.8076740390812018,13.65,180314.6,344588.0,0.37385451791791074,7.0,1181.0,2203.0
6,0.7816941889404502,13.65,150284.8,287141.6,0.17776827174781495,7.0,1181.0,2203.0
