num_assets,my_acc,my_qubits,my_cnot,my_dep,qiskit_acc,qiskit_qubits,qiskit_cnot,qiskit_dep
2,0.8235164434815276,11.8,56158.2,107191.8,0.25870715134144506,7.0,1181.0,2203.0
3,0.8552202323221628,11.3,23901.4,45519.4,0.2960336663350013,7.0,1181.0,2203.0
4,0.8177270784359332,11.15,24339.2,46363.6,0.43193519484190224,7.0,1181.0,2203.0
5,0.7647681280920176,11.1,23012.8,43829.0,0.44551596794811765,7.0,1181.0,2203.0
6,0.7713065761809922,12.2,106515.0,203500.6,0.25463758594094643,7.0,1181.0,2203.0
