num_tickers,tickers,optimized_depth,optimized_gate_count,optimized_num_qubit,original_depth,original_gate_count,original_num_qubit
2,"['MNST', 'FTNT']",270247,141465,14,17301439,9044445,20
2,"['ROST', 'EXC']",34602947,18088481,21,1107296215,578814897,26
2,"['ATVI', 'ODFL']",135075,70769,13,17301439,9044445,20
2,"['ADP', 'AMGN']",135075,70769,13,17301439,9044445,20
2,"['ZS', 'ISRG']",270247,141465,14,8650683,4522397,19
2,"['MSFT', 'ATVI']",33691,17709,11,8650683,4522397,19
2,"['NFLX', 'MRNA']",540587,282821,15,8650683,4522397,19
2,"['AVGO', 'EA']",34602947,18088481,21,2214592475,1157628941,27
2,"['NVDA', 'MRVL']",1081263,565493,16,17301439,9044445,20
2,"['ROST', 'REGN']",4325303,2261345,18,276824015,144704261,24
3,"['MCHP', 'COST', 'PEP']",810259,426775,14,207617331,109314247,22
3,"['MU', 'GOOGL', 'ADI']",404751,213235,13,207617331,109314247,22
3,"['PEP', 'CHTR', 'GOOGL']",201995,106451,12,207617331,109314247,22
3,"['AVGO', 'ASML', 'ROST']",810259,426775,14,415235383,218628367,23
3,"['ZM', 'WBD', 'ADSK']",1621271,853823,15,51903787,27328579,20
3,"['AAPL', 'NVDA', 'TXN']",810259,426775,14,415235383,218628367,23
3,"['ALGN', 'CPRT', 'BKR']",201995,106451,12,207617331,109314247,22
3,"['CTAS', 'CMCSA', 'NVDA']",404751,213235,13,103808303,54657155,21
3,"['SBUX', 'AAPL', 'COST']",1621271,853823,15,415235383,218628367,23
3,"['ZM', 'TEAM', 'SGEN']",1621271,853823,15,103808303,54657155,21
4,"['AMGN', 'ADBE', 'KLAC', 'MRNA']",404751,213235,13,207617331,109314247,22
4,"['COST', 'VRTX', 'META', 'ISRG']",404751,213235,13,207617331,109314247,22
4,"['CTSH', 'MRNA', 'NVDA', 'KHC']",404751,213235,13,207617331,109314247,22
4,"['IDXX', 'AMD', 'AEP', 'PAYX']",810259,426775,14,830471483,437256539,24
4,"['CHTR', 'SGEN', 'GOOG', 'ILMN']",810259,426775,14,207617331,109314247,22
4,"['PDD', 'ADSK', 'LRCX', 'TXN']",810259,426775,14,207617331,109314247,22
4,"['ADI', 'BKNG', 'ZM', 'LULU']",404751,213235,13,207617331,109314247,22
4,"['KDP', 'XEL', 'WBA', 'VRSK']",810259,426775,14,830471483,437256539,24
4,"['QCOM', 'TXN', 'PDD', 'MU']",810259,426775,14,415235383,218628367,23
4,"['MCHP', 'ANSS', 'ORLY', 'PYPL']",404751,213235,13,415235383,218628367,23
5,"['CMCSA', 'PDD', 'LULU', 'ASML', 'META']",810259,426775,14,207617331,109314247,22
5,"['AMD', 'ABNB', 'META', 'ANSS', 'CSX']",810259,426775,14,415235383,218628367,23
5,"['INTU', 'ADP', 'VRSK', 'PAYX', 'MNST']",1621271,853823,15,1660943679,874512811,25
5,"['GILD', 'ISRG', 'GOOG', 'CTSH', 'EXC']",404751,213235,13,415235383,218628367,23
5,"['AMAT', 'ISRG', 'FAST', 'ZM', 'KDP']",810259,426775,14,830471483,437256539,24
5,"['ABNB', 'CSX', 'AVGO', 'RIVN', 'MELI']",1621271,853823,15,415235383,218628367,23
5,"['BIIB', 'HON', 'JD', 'AMZN', 'SGEN']",404751,213235,13,207617331,109314247,22
5,"['MRNA', 'FANG', 'QCOM', 'ADBE', 'INTC']",404751,213235,13,415235383,218628367,23
5,"['BKNG', 'DDOG', 'CMCSA', 'INTU', 'META']",810259,426775,14,415235383,218628367,23
5,"['EBAY', 'EA', 'FTNT', 'PAYX', 'MSFT']",810259,426775,14,415235383,218628367,23
6,"['WBA', 'VRTX', 'SBUX', 'JD', 'KLAC', 'AVGO']",810259,426775,14,830471483,437256539,24
6,"['GOOGL', 'AZN', 'GOOG', 'MRVL', 'ABNB', 'META']",103808303,54657155,21,53150219603,27984397175,30
6,"['MAR', 'PEP', 'KHC', 'PCAR', 'MU', 'TMUS']",810259,426775,14,1660943679,874512811,25
6,"['FAST', 'MRNA', 'GILD', 'IDXX', 'ZS', 'EXC']",810259,426775,14,415235383,218628367,23
6,"['REGN', 'ABNB', 'TMUS', 'SGEN', 'MDLZ', 'AMZN']",810259,426775,14,415235383,218628367,23
6,"['PYPL', 'TSLA', 'ATVI', 'SNPS', 'ALGN', 'KHC']",404751,213235,13,415235383,218628367,23
6,"['ALGN', 'CTSH', 'VRSK', 'ADI', 'CMCSA', 'XEL']",810259,426775,14,830471483,437256539,24
6,"['CSCO', 'MAR', 'EXC', 'JD', 'ISRG', 'GILD']",404751,213235,13,415235383,218628367,23
6,"['COST', 'INTU', 'TMUS', 'ORLY', 'FTNT', 'TXN']",810259,426775,14,415235383,218628367,23
6,"['EBAY', 'MRNA', 'AMAT', 'META', 'NXPI', 'TXN']",1621271,853823,15,830471483,437256539,24
