num_tickers,tickers,optimized_depth,optimized_gate_count,optimized_num_qubit,original_depth,original_gate_count,original_num_qubit
2,"['MNST', 'FTNT']",135075,70769,13,8650683,4522397,19
2,"['ROST', 'EXC']",17301439,9044445,20,553648083,289407833,25
2,"['ATVI', 'ODFL']",67487,35405,12,8650683,4522397,19
2,"['ADP', 'AMGN']",67487,35405,12,8650683,4522397,19
2,"['ZS', 'ISRG']",135075,70769,13,4325303,2261345,18
2,"['MSFT', 'ATVI']",16791,8849,10,4325303,2261345,18
2,"['NFLX', 'MRNA']",270247,141465,14,4325303,2261345,18
2,"['AVGO', 'EA']",17301439,9044445,20,1107296215,578814897,26
2,"['NVDA', 'MRVL']",540587,282821,15,8650683,4522397,19
2,"['ROST', 'REGN']",2162611,1130793,17,138411979,72352437,23
3,"['MCHP', 'COST', 'PEP']",404751,213235,13,103808303,54657155,21
3,"['MU', 'GOOGL', 'ADI']",201995,106451,12,103808303,54657155,21
3,"['PEP', 'CHTR', 'GOOGL']",100615,53047,11,103808303,54657155,21
3,"['AVGO', 'ASML', 'ROST']",404751,213235,13,207617331,109314247,22
3,"['ZM', 'WBD', 'ADSK']",810259,426775,14,25951527,13664263,19
3,"['AAPL', 'NVDA', 'TXN']",404751,213235,13,207617331,109314247,22
3,"['ALGN', 'CPRT', 'BKR']",100615,53047,11,103808303,54657155,21
3,"['CTAS', 'CMCSA', 'NVDA']",201995,106451,12,51903787,27328579,20
3,"['SBUX', 'AAPL', 'COST']",810259,426775,14,207617331,109314247,22
3,"['ZM', 'TEAM', 'SGEN']",810259,426775,14,51903787,27328579,20
4,"['AMGN', 'ADBE', 'KLAC', 'MRNA']",201995,106451,12,103808303,54657155,21
4,"['COST', 'VRTX', 'META', 'ISRG']",201995,106451,12,103808303,54657155,21
4,"['CTSH', 'MRNA', 'NVDA', 'KHC']",201995,106451,12,103808303,54657155,21
4,"['IDXX', 'AMD', 'AEP', 'PAYX']",404751,213235,13,415235383,218628367,23
4,"['CHTR', 'SGEN', 'GOOG', 'ILMN']",404751,213235,13,103808303,54657155,21
4,"['PDD', 'ADSK', 'LRCX', 'TXN']",404751,213235,13,103808303,54657155,21
4,"['ADI', 'BKNG', 'ZM', 'LULU']",201995,106451,12,103808303,54657155,21
4,"['KDP', 'XEL', 'WBA', 'VRSK']",404751,213235,13,415235383,218628367,23
4,"['QCOM', 'TXN', 'PDD', 'MU']",404751,213235,13,207617331,109314247,22
4,"['MCHP', 'ANSS', 'ORLY', 'PYPL']",201995,106451,12,207617331,109314247,22
5,"['CMCSA', 'PDD', 'LULU', 'ASML', 'META']",404751,213235,13,103808303,54657155,21
5,"['AMD', 'ABNB', 'META', 'ANSS', 'CSX']",404751,213235,13,207617331,109314247,22
5,"['INTU', 'ADP', 'VRSK', 'PAYX', 'MNST']",810259,426775,14,830471483,437256539,24
5,"['GILD', 'ISRG', 'GOOG', 'CTSH', 'EXC']",201995,106451,12,207617331,109314247,22
5,"['AMAT', 'ISRG', 'FAST', 'ZM', 'KDP']",404751,213235,13,415235383,218628367,23
5,"['ABNB', 'CSX', 'AVGO', 'RIVN', 'MELI']",810259,426775,14,207617331,109314247,22
5,"['BIIB', 'HON', 'JD', 'AMZN', 'SGEN']",201995,106451,12,103808303,54657155,21
5,"['MRNA', 'FANG', 'QCOM', 'ADBE', 'INTC']",201995,106451,12,207617331,109314247,22
5,"['BKNG', 'DDOG', 'CMCSA', 'INTU', 'META']",404751,213235,13,207617331,109314247,22
5,"['EBAY', 'EA', 'FTNT', 'PAYX', 'MSFT']",404751,213235,13,207617331,109314247,22
6,"['WBA', 'VRTX', 'SBUX', 'JD', 'KLAC', 'AVGO']",404751,213235,13,415235383,218628367,23
6,"['GOOGL', 'AZN', 'GOOG', 'MRVL', 'ABNB', 'META']",51903787,27328579,20,26575109455,13992198931,29
6,"['MAR', 'PEP', 'KHC', 'PCAR', 'MU', 'TMUS']",404751,213235,13,830471483,437256539,24
6,"['FAST', 'MRNA', 'GILD', 'IDXX', 'ZS', 'EXC']",404751,213235,13,207617331,109314247,22
6,"['REGN', 'ABNB', 'TMUS', 'SGEN', 'MDLZ', 'AMZN']",404751,213235,13,207617331,109314247,22
6,"['PYPL', 'TSLA', 'ATVI', 'SNPS', 'ALGN', 'KHC']",201995,106451,12,207617331,109314247,22
6,"['ALGN', 'CTSH', 'VRSK', 'ADI', 'CMCSA', 'XEL']",404751,213235,13,415235383,218628367,23
6,"['CSCO', 'MAR', 'EXC', 'JD', 'ISRG', 'GILD']",201995,106451,12,207617331,109314247,22
6,"['COST', 'INTU', 'TMUS', 'ORLY', 'FTNT', 'TXN']",404751,213235,13,207617331,109314247,22
6,"['EBAY', 'MRNA', 'AMAT', 'META', 'NXPI', 'TXN']",810259,426775,14,415235383,218628367,23
