num_tickers,tickers,optimized_depth,optimized_gate_count,optimized_num_qubit,original_depth,original_gate_count,original_num_qubit
2,"['MNST', 'FTNT']",1081263,565493,16,69205959,36176489,22
2,"['ROST', 'EXC']",138411979,72352437,23,4429184991,2315256941,28
2,"['ATVI', 'ODFL']",540587,282821,15,69205959,36176489,22
2,"['ADP', 'AMGN']",540587,282821,15,69205959,36176489,22
2,"['ZS', 'ISRG']",1081263,565493,16,34602947,18088481,21
2,"['MSFT', 'ATVI']",135075,70769,13,34602947,18088481,21
2,"['NFLX', 'MRNA']",2162611,1130793,17,34602947,18088481,21
2,"['AVGO', 'EA']",138411979,72352437,23,8858370019,4630512849,29
2,"['NVDA', 'MRVL']",4325303,2261345,18,69205959,36176489,22
2,"['ROST', 'REGN']",17301439,9044445,20,1107296215,578814897,26
3,"['MCHP', 'COST', 'PEP']",3243291,1707883,16,830471483,437256539,24
3,"['MU', 'GOOGL', 'ADI']",1621271,853823,15,830471483,437256539,24
3,"['PEP', 'CHTR', 'GOOGL']",810259,426775,14,830471483,437256539,24
3,"['AVGO', 'ASML', 'ROST']",3243291,1707883,16,1660943679,874512811,25
3,"['ZM', 'WBD', 'ADSK']",6487327,3415963,17,207617331,109314247,22
3,"['AAPL', 'NVDA', 'TXN']",3243291,1707883,16,1660943679,874512811,25
3,"['ALGN', 'CPRT', 'BKR']",810259,426775,14,830471483,437256539,24
3,"['CTAS', 'CMCSA', 'NVDA']",1621271,853823,15,415235383,218628367,23
3,"['SBUX', 'AAPL', 'COST']",6487327,3415963,17,1660943679,874512811,25
3,"['ZM', 'TEAM', 'SGEN']",6487327,3415963,17,415235383,218628367,23
4,"['AMGN', 'ADBE', 'KLAC', 'MRNA']",1621271,853823,15,830471483,437256539,24
4,"['COST', 'VRTX', 'META', 'ISRG']",1621271,853823,15,830471483,437256539,24
4,"['CTSH', 'MRNA', 'NVDA', 'KHC']",1621271,853823,15,830471483,437256539,24
4,"['IDXX', 'AMD', 'AEP', 'PAYX']",3243291,1707883,16,3321888067,1749025279,26
4,"['CHTR', 'SGEN', 'GOOG', 'ILMN']",3243291,1707883,16,830471483,437256539,24
4,"['PDD', 'ADSK', 'LRCX', 'TXN']",3243291,1707883,16,830471483,437256539,24
4,"['ADI', 'BKNG', 'ZM', 'LULU']",1621271,853823,15,830471483,437256539,24
4,"['KDP', 'XEL', 'WBA', 'VRSK']",3243291,1707883,16,3321888067,1749025279,26
4,"['QCOM', 'TXN', 'PDD', 'MU']",3243291,1707883,16,1660943679,874512811,25
4,"['MCHP', 'ANSS', 'ORLY', 'PYPL']",1621271,853823,15,1660943679,874512811,25
5,"['CMCSA', 'PDD', 'LULU', 'ASML', 'META']",3243291,1707883,16,830471483,437256539,24
5,"['AMD', 'ABNB', 'META', 'ANSS', 'CSX']",3243291,1707883,16,1660943679,874512811,25
5,"['INTU', 'ADP', 'VRSK', 'PAYX', 'MNST']",6487327,3415963,17,6643776839,3498050135,27
5,"['GILD', 'ISRG', 'GOOG', 'CTSH', 'EXC']",1621271,853823,15,1660943679,874512811,25
5,"['AMAT', 'ISRG', 'FAST', 'ZM', 'KDP']",3243291,1707883,16,3321888067,1749025279,26
5,"['ABNB', 'CSX', 'AVGO', 'RIVN', 'MELI']",6487327,3415963,17,1660943679,874512811,25
5,"['BIIB', 'HON', 'JD', 'AMZN', 'SGEN']",1621271,853823,15,830471483,437256539,24
5,"['MRNA', 'FANG', 'QCOM', 'ADBE', 'INTC']",1621271,853823,15,1660943679,874512811,25
5,"['BKNG', 'DDOG', 'CMCSA', 'INTU', 'META']",3243291,1707883,16,1660943679,874512811,25
5,"['EBAY', 'EA', 'FTNT', 'PAYX', 'MSFT']",3243291,1707883,16,1660943679,874512811,25
6,"['WBA', 'VRTX', 'SBUX', 'JD', 'KLAC', 'AVGO']",3243291,1707883,16,3321888067,1749025279,26
6,"['GOOGL', 'AZN', 'GOOG', 'MRVL', 'ABNB', 'META']",415235383,218628367,23,212600880475,111937586251,32
6,"['MAR', 'PEP', 'KHC', 'PCAR', 'MU', 'TMUS']",3243291,1707883,16,6643776839,3498050135,27
6,"['FAST', 'MRNA', 'GILD', 'IDXX', 'ZS', 'EXC']",3243291,1707883,16,1660943679,874512811,25
6,"['REGN', 'ABNB', 'TMUS', 'SGEN', 'MDLZ', 'AMZN']",3243291,1707883,16,1660943679,874512811,25
6,"['PYPL', 'TSLA', 'ATVI', 'SNPS', 'ALGN', 'KHC']",1621271,853823,15,1660943679,874512811,25
6,"['ALGN', 'CTSH', 'VRSK', 'ADI', 'CMCSA', 'XEL']",3243291,1707883,16,3321888067,1749025279,26
6,"['CSCO', 'MAR', 'EXC', 'JD', 'ISRG', 'GILD']",1621271,853823,15,1660943679,874512811,25
6,"['COST', 'INTU', 'TMUS', 'ORLY', 'FTNT', 'TXN']",3243291,1707883,16,1660943679,874512811,25
6,"['EBAY', 'MRNA', 'AMAT', 'META', 'NXPI', 'TXN']",6487327,3415963,17,3321888067,1749025279,26
