num_qubits,tickers,"s1, s2",kappa_opt,kappa_original
7,"['GOOGL', 'AZN', 'GOOG', 'MRVL', 'ABNB', 'META', 'MU']",[ 4.09651814e-02 -2.12851300e-05 -2.36726850e-03],3672.895156952664,1961284.7070151817
7,"['MAR', 'PEP', 'KHC', 'PCAR', 'MU', 'TMUS', 'GILD']",[ 1.26234587e-01  1.08829740e-04 -1.37979994e-03],24.46743343433167,40776.64631435521
7,"['FAST', 'MRNA', 'GILD', 'IDXX', 'ZS', 'EXC', 'ORLY']",[ 2.30944661e-01 -1.88655210e-04 -6.22304649e-04],24.107401038316205,16349.119071053692
7,"['REGN', 'ABNB', 'TMUS', 'SGEN', 'MDLZ', 'AMZN', 'VRSK']",[ 0.09517743  0.00017193 -0.00086076],23.452978462385616,23628.85624312455
7,"['PYPL', 'TSLA', 'ATVI', 'SNPS', 'ALGN', 'KHC', 'RIVN']",[ 0.11707637  0.00033707 -0.0015722 ],20.6827186191458,8982.753517062018
7,"['ALGN', 'CTSH', 'VRSK', 'ADI', 'CMCSA', 'XEL', 'FTNT']",[ 0.08665688 -0.00015144 -0.00168395],27.83705390363053,25498.084140740448
7,"['CSCO', 'MAR', 'EXC', 'JD', 'ISRG', 'GILD', 'ASML']",[ 1.60470823e+00  1.96249545e-04 -1.29303441e-03],21.67272428647329,15320.806066087309
7,"['COST', 'INTU', 'TMUS', 'ORLY', 'FTNT', 'TXN', 'ILMN']",[ 0.19458727  0.00021599 -0.00069148],19.402634842295136,16277.937734297171
7,"['EBAY', 'MRNA', 'AMAT', 'META', 'NXPI', 'TXN', 'AVGO']",[ 0.08098225  0.00028748 -0.00225315],58.2687852960196,32109.313556174853
8,"['CDNS', 'ROST', 'GOOG', 'META', 'REGN', 'CPRT', 'VRSK', 'FTNT']",[-0.08643678  0.00021596 -0.00374031],32.48831128194346,24508.628368074184
8,"['AMGN', 'GOOG', 'GILD', 'CSX', 'ENPH', 'HON', 'CMCSA', 'COST']",[ 1.52484122e-01 -1.19225413e-04 -2.63085539e-03],29.450175054370824,31600.582353332906
8,"['EBAY', 'AMD', 'CRWD', 'MAR', 'JD', 'ADI', 'ENPH', 'MRNA']",[ 4.28379555e-01 -2.68664285e-04 -1.57060490e-03],36.56478826456811,16618.830228765804
8,"['AEP', 'TMUS', 'LCID', 'AMGN', 'QCOM', 'NVDA', 'IDXX', 'MELI']",[ 7.79443178e-01  1.50944657e-04 -1.28662455e-04],64.58719465901609,21992.84736475896
8,"['AEP', 'TSLA', 'WBD', 'ISRG', 'PAYX', 'BKR', 'ROST', 'ADI']",[ 0.08312576 -0.00015173 -0.00088627],35.50731916890398,29602.024999494275
8,"['AAPL', 'META', 'CSCO', 'MU', 'CDNS', 'LULU', 'IDXX', 'EXC']",[-0.09961029 -0.0001746  -0.00091279],33.289744060676895,23959.466761476753
8,"['CSX', 'FAST', 'AAPL', 'ROST', 'ISRG', 'CTSH', 'ZM', 'BKR']",[ 2.38970192e-01  1.73515853e-04 -3.25688872e-03],28.61087678000341,24822.993563170363
8,"['PCAR', 'AAPL', 'VRSK', 'WDAY', 'VRTX', 'CRWD', 'MRVL', 'COST']",[-0.12198931  0.00017341 -0.00203188],33.01202941947162,22991.071811039717
8,"['CMCSA', 'ADBE', 'MELI', 'ADSK', 'PANW', 'PEP', 'SNPS', 'GOOGL']",[ 1.60490250e+00 -3.17633290e-04 -1.29337204e-03],48.242508600563724,18587.9875137964
