num_qubits,tickers,"s1, s2",kappa
5,"['EBAY', 'MRNA', 'AMAT', 'META', 'NXPI']",[ 1.60446008e+00  6.64353450e-04 -1.29289416e-03],54.06447111875407
5,"['CDNS', 'ROST', 'GOOG', 'META', 'REGN']",[ 0.19699986  0.00027875 -0.00198321],13.760012130922124
5,"['AMGN', 'GOOG', 'GILD', 'CSX', 'ENPH']",[ 3.54387337e-01  2.25019747e-04 -2.57118543e-03],23.876423462305933
5,"['EBAY', 'AMD', 'CRWD', 'MAR', 'JD']",[ 0.32045042  0.00048314 -0.001249  ],13.35720039266401
5,"['AEP', 'TMUS', 'LCID', 'AMGN', 'QCOM']",[ 0.08953241  0.00019764 -0.00243756],23.07217508599851
5,"['AEP', 'TSLA', 'WBD', 'ISRG', 'PAYX']",[-0.08421696  0.00015461 -0.00210906],28.74125490445252
5,"['AAPL', 'META', 'CSCO', 'MU', 'CDNS']",[ 0.13799562 -0.00026162 -0.0017726 ],25.595209641020844
5,"['CSX', 'FAST', 'AAPL', 'ROST', 'ISRG']",[ 1.60475798e+00  2.22153459e-04 -1.29302708e-03],28.50992751076625
5,"['PCAR', 'AAPL', 'VRSK', 'WDAY', 'VRTX']",[ 0.19637457  0.00021719 -0.00173798],11.824634822336593
5,"['CMCSA', 'ADBE', 'MELI', 'ADSK', 'PANW']",[ 0.600639   -0.00072918 -0.00175972],23.847905189298913
5,"['PAYX', 'PCAR', 'SGEN', 'ROST', 'CTAS']",[ 1.60488253e+00 -2.10796451e-04 -1.29319154e-03],22.630008816415703
6,"['CHTR', 'NXPI', 'XEL', 'META', 'GOOGL', 'WDAY']",[ 1.54757199e-01 -2.74243216e-04  1.33295347e-04],17.587130379031393
6,"['ATVI', 'PEP', 'PCAR', 'CMCSA', 'TEAM', 'FAST']",[ 0.12085238  0.0002136  -0.00198665],28.782966018900286
6,"['AZN', 'PYPL', 'NXPI', 'PAYX', 'CSCO', 'AAPL']",[ 0.090684    0.0001611  -0.00168552],22.925538441761468
6,"['WBD', 'SIRI', 'ENPH', 'EXC', 'KDP', 'GILD']",[ 0.13039715 -0.00013117 -0.00178874],23.21995445411293
6,"['ADP', 'AMD', 'KDP', 'EBAY', 'DDOG', 'VRSK']",[ 0.11523987  0.00022548 -0.00258821],31.1425749848755
6,"['AAPL', 'NFLX', 'TEAM', 'EXC', 'DDOG', 'CSCO']",[ 0.148217    0.00026382 -0.00130293],46.13408798604371
6,"['ABNB', 'ISRG', 'ODFL', 'ENPH', 'PDD', 'SGEN']",[ 0.1787637   0.00043812 -0.00242645],19.43656036822811
6,"['AMD', 'FTNT', 'MAR', 'SGEN', 'ZS', 'NFLX']",[ 0.25048015  0.00048156 -0.00230217],16.093637049396726
6,"['AMD', 'PCAR', 'PAYX', 'SNPS', 'XEL', 'ADI']",[-0.11436815  0.00015458 -0.00292621],30.671110474948623
6,"['CDNS', 'MELI', 'ROST', 'VRTX', 'CPRT', 'MRNA']",[ 1.60491458e+00 -2.90079805e-04 -1.29336288e-03],31.46431160035926
6,"['CMCSA', 'DLTR', 'SBUX', 'AVGO', 'MCHP', 'DDOG']",[ 0.14098408 -0.00023223 -0.00038843],36.70267729666879
