num_assets,l_max_scale,l_min_scale,qubit_num_scale
2,0.7545780096603497,0.5202318010636344,0.8482636549724786
3,0.7798571219192959,0.49114420973067896,0.9255803363303363
4,0.7684206495115127,0.5409982197783797,0.937829254079254
5,0.7871485658972718,0.46752168567099356,0.9513012820512821
6,0.7874074980406714,0.529157016971517,0.9525961538461539
7,0.8007026817370343,0.6165029547065798,0.9544358974358974
8,0.8018932863365201,0.6361638805367458,0.969923076923077
9,0.8093904475090765,0.6790154435290948,0.9704285714285714
10,0.8107495885340668,-0.1603020377957784,0.9374333333333333
11,0.8132731676119966,0.6814633455351151,0.957412087912088
12,0.8261646338029106,0.1594260377021036,0.9394333333333332
13,0.8369890967945985,0.5122333444502943,0.9681952380952381
14,0.8441086638057087,0.3856060270202263,0.9387
15,0.8484467602532569,0.39513001339968606,0.9474
16,0.8586207421989213,0.34044660390669174,0.9528666666666665
17,0.8670735851319711,0.42933200447204267,0.9567333333333332
18,0.8680404690964723,0.708206170832308,0.9588
19,0.8713459431281269,0.6056554967470386,0.9708
20,0.8759475448193165,0.18346473685779477,0.9301875
21,0.878712005925406,0.5874865479733606,0.9558458333333333
22,0.8743328704080614,0.5797460035279377,0.9401124999999999
23,0.8802008145970811,0.14884198971707943,0.9423125
24,0.8860696397249108,0.6163477444947705,0.94825
25,0.8919774269022518,0.6416211336337813,0.9485625
26,0.8926371749550528,0.4882297693775323,0.9548125
27,0.8906627391466791,0.640947423539681,0.9576875
28,0.8958692794448068,0.6349420642882753,0.955875
29,0.9014158272681485,0.5674744308611719,0.9598125
30,0.8990770337815099,0.664891668088681,0.9601875
31,0.9006119558102705,0.5276621734892737,0.9516580882352942
