num_assets,l_max_scale,l_min_scale,qubit_num_scale
2,0.7437959612654069,0.5168781234389186,0.8527900534514505
3,0.7824660912770528,0.4725533317941212,0.9244065601065601
4,0.77439397379612,0.5515907273966295,0.942054662004662
5,0.7895440546014459,0.47590142908215993,0.9516275641025641
6,0.7840525783490351,0.5486401900395375,0.9541705128205129
7,0.8001577429386532,0.6207198258316228,0.9553583333333334
8,0.8048166966609281,0.6500863761475096,0.9676362637362638
9,0.8097383780088645,0.6665029991893526,0.9697527472527472
10,0.8173175400802115,-0.1503209280399595,0.9374833333333334
11,0.820261801453875,0.6812513334599601,0.9574126373626374
12,0.8316251369402127,0.16597824867234756,0.9387485714285715
13,0.8354427943921355,0.5120616843552915,0.9677471428571429
14,0.8453146638145032,0.36176269804065925,0.9378395238095237
15,0.8506510401065934,0.3926413855790438,0.9455133333333333
16,0.8566266465510678,0.3427005365277428,0.9524599999999999
17,0.8623344321706167,0.44407064392486073,0.9583266666666667
18,0.8674115310716923,0.7188084041356663,0.9632066666666665
19,0.8706813252599732,0.5969649258397718,0.9655333333333334
20,0.8739718821131702,0.17964944489258014,0.93033125
21,0.87870952280532,0.5773599646971247,0.9585404166666667
22,0.8810212428184199,0.5811114763208302,0.9414758333333333
23,0.8816603520974453,0.1667086316409867,0.94434375
24,0.8862345109624133,0.6079015767457455,0.946225
25,0.8885500648216054,0.6507483557497062,0.9500125
26,0.8897671934882876,0.4908025168122912,0.95328125
27,0.8942454454249587,0.6391331114826209,0.95536875
28,0.895918896460155,0.6411945257706462,0.95724375
29,0.8976381060208268,0.5619757457955759,0.9563
30,0.8991188743391387,0.6495194421491947,0.9570125
31,0.9002376085214427,0.5432579761008197,0.9556386029411764
